#xr #xi #yr #yi
-0.25087642690309519544 -0.68616188908085873344 +0.54854125070787129737 -1.32828139607383155507
+0.83552981196145292841 -0.65494179993676504559 +0.88652781858141671556 -0.82656391873484458266
+0.91581782015228418992 +0.85870548136020152796 +1.40766804028128911241 +1.42218769584639059822
+0.80795020123711536186 -0.25103525933808334969 +0.70167380887486463514 -0.68949765904744331202
-0.56274276748673490722 +0.40713523639043969204 -0.40922459988998283187 +1.21688124903952221700
+0.85194191371220129305 -0.61963197860057017685 -0.66697259607108660973 +0.91392618418470306096
-0.21872596168698676955 -0.92390863936598521811 +1.04214544445260925976 +0.73874675575997961197
-0.56594714196845252729 +0.23680427786023194869 +0.42685086271194916385 -0.11276374810684745842
-0.20557450952036471215 +0.80691898143880802508 -0.85490395671639929365 -1.30866156690736956669
+0.83810079482024879560 +0.90780272460943267632 -0.59541228564513204446 -0.03105598594913355770
+0.91552649940329100531 +0.08546316819235655338 -1.01887854314869819028 +0.33446212455535095920
-0.96472874694295240872 +0.35112079334903967265 +0.96715919394082128235 -1.23299597268213600998
-0.63223773171569197515 +0.57886857082953113718 +0.01351179849640429462 +0.08640191296003868482
-0.90788690795119753041 -0.18198151579350163587 -0.27507701785177507414 -1.90389776677007405148
-0.56226222947418791342 -0.80149422833540895361 +1.22764203665803095511 -0.99909903038674396925
-0.99421505094925843871 -0.53151597684378337760 +0.21327290354354794255 -0.38174447984019499458
+0.79941767761096649281 -0.64211950699297282164 +0.54689223806001019401 +0.89775626834162669532
+0.05099800661996378714 -0.17162211879807953707 -0.89650638363676726783 -0.21298913556071896735
+0.49185022012900492250 +0.56348221448618907026 -0.18849891687268083285 -0.48101295357930834440
-0.10627639236225072672 -0.43846239970935996233 -0.77290997653464710293 -0.52301946958527834042
+0.15351816759675207535 +0.80974601264908252496 +0.62395271609911429067 +0.53461029952554806055
-0.02060423912895492649 -0.97407809279520662926 -0.12803452933102854594 -1.73171410448054485798
-0.43102845500623510056 +0.07672765494160338484 -1.35118260715167237684 -0.45464875591441189506
-0.68222891321780099183 +0.04530007728105189813 -1.13758548080067312114 -0.54588134097897200725
-0.82734681507328988737 +0.59143875024670422569 -1.09451326943835769434 +0.16545217925090338618
-0.75052294937963104360 -0.30080789401933549776 -0.14643467468550452892 +0.16105306896594995258
+0.30246205896852362827 -0.70840015089401586756 +0.84163532133981755479 +0.14896148180134116679
+0.56628301774731393259 -0.26742537891838069619 +0.30587314129113374328 -0.75706452214864938810
+0.15922399034312917365 +0.96622618146285810248 +0.57581236947628267053 +1.87758178068151826423
-0.47679437129745494417 -0.08571278153460126781 -0.44415183695975901657 +0.86261232442294999423
-0.57860177179022231897 -0.61953337189541479724 -0.64673715766994543941 -0.58208407150793006757
-0.65187741815115374244 -0.44966625410400817842 -0.91877908839406874364 -0.72036565213030812060
-0.88123972183916055023 +0.33718090873947703656 -1.67111804919831707927 +0.31685053928034756510
+0.98638057071031637335 +0.00661792714581332930 +1.24364955968346246884 +0.44266025489642468749
-0.87825438658698695704 -0.19450907827191921129 -1.00412411483016139613 -0.56535159690369996000
+0.70729088741301970877 -0.03324248125499562612 +0.16671648304743547087 -0.89787261097054171799
-0.84422629874710830578 +0.22400209204624643711 -1.05607380360139946340 -0.68124215122005882250
-0.10743029020207361945 -0.75763601168533822872 +0.08682605107311869297 -0.21644208110986840055
-0.92015415214543727629 -0.53137641085601527990 +0.59836250203867391573 +0.50099582692425981278
-0.45535656758287212931 -0.59118141826002390538 +0.03396820673044112504 +0.67485251448862304535
-0.26716645436506780698 -0.42598657099580083951 +0.09947827547766113776 +1.15717777093089679852
+0.60408827469412651467 +0.46186096298528545034 -1.49714310299570341201 +0.41856646184773915742
+0.53917326237129392652 +0.85736163269535703435 -1.43339304160412761568 -0.67307246641519169472
-0.26040987645618018931 -0.48963914323026869191 +0.52166042294101844234 -0.67872711859274226232
+0.41658837913315349688 +0.91135559921866016175 +0.00360695791435804158 +0.26312392378437221563
+0.03264253433769592760 +0.94832510595755126204 -1.03403788747749603161 +0.50943690566489963079
-0.06813538587972312044 +0.03744930038748472967 -0.54477188282900623761 +0.62882887855397184840
-0.26690167024291500120 -0.27069939802629994219 -0.01801997472599189964 +0.42415886476970099395
-0.78987832735915652904 -0.02033036945912947147 +0.34801743509298221912 -0.12265840090199370271
+0.25726898897314609549 +0.43604232775061135818 -0.81920864937176884890 -0.21191083797802923172
-0.12586972824317443909 -0.37084251863178074871 +0.72355059073807648229 +0.27138662263063134672
-0.54057440436558423791 -0.86463012971554609187 -0.83471892352936682968 -1.24563940494046643259
-0.21184750485429115763 -0.90524424326630525961 +0.84053284382779247519 -0.98417720113246165425
-0.57205663386181537788 +0.84514373749380156120 -0.38307811081432596723 +0.80021220073744370183
-0.01609355884674679160 +0.67257144560769721586 -0.48278989249964943120 +0.84980491689603820937
-0.31458725853585778331 -0.01912616884965911979 -0.02103542198842611732 +0.33934624742488206373
+0.64336633939852294617 +0.80281036434970531879 -0.04679543146349374183 +0.89431746339066653384
-0.35054135765126215318 -0.36794005973822052624 +0.35438629380971975458 -0.12316162251389739524
-0.84355179792835488506 +0.85915638719637255072 -0.17149514230879736587 +1.73089225749788711006
+0.01567810577488115698 +0.56293074547589627699 -0.47639990395543407864 +0.94618614882226692586
-0.30856576972437599338 +0.11587476412895658662 -0.56390644458504524117 +0.20026792577162422226
-0.37845569950069313236 +0.23307923021167975541 -0.43999964035724037359 -0.37274934613149501850
+0.40688080906597234865 -0.27752368198073296135 +0.99755064210542476744 -1.24898806360063852061
+0.19726443554034500671 +0.70872204337685351661 +0.75387792575194279010 +1.31289798890169295831
-0.63742726371594393697 +0.21060322354858707072 -1.07318338636194043900 -0.53889607137565254114
-0.56924856366107001726 -0.63637105114324254984 +0.14092876759866723724 -0.51416692568837119026
-0.08954938594759420667 +0.60019641533102774389 +0.31162695288962272144 +0.53104695957399572492
-0.85249952354134661547 +0.48596970178683851493 -0.05693988348659728693 +0.38739959594307271651
-0.33314750945989501929 +0.25207632291420178916 +0.28160900957684598112 -0.21510203350423573454
+0.18897852304748941066 -0.04493153675635785937 -0.76103515690930478854 +0.89007527425015942057
-0.46669633365290263960 +0.17723347128834099351 +0.53858021375694009603 +0.39791195359694725431
+0.29355183654743166599 +0.35847241627454118351 -0.70634798547975230498 -0.11613084803451628746
-0.69016177086201668800 +0.09150709904096121505 +1.50396702168644758046 -0.14944147273606767090
+0.70492765146098190776 +0.24477843722432313101 -1.17958669783165381872 +0.31307188953183812119
+0.67205665561955751919 +0.87173587030151455934 -0.85248639962195782438 +1.25319358692928162213
-0.49207800973031523561 +0.38325540334637064888 +0.36030822416768681915 -0.40034670599296351412
-0.25534067486066924779 +0.08439316164266763565 +0.02049299142722713768 +0.05834414555650712514
-0.06154394085654724122 -0.60582857634317477391 +0.83890780656397179182 +0.31691175862001080832
+0.59066983303945241879 -0.97146438161990555926 +0.71646228355028840351 +0.04487645483697330628
+0.55661349021159778339 +0.60417594552483944170 +0.23410492967864371394 +0.29198717706324567311
-0.43575612264599650203 -0.74949929492423961186 +0.91033855162839083519 -0.36572095446862540324
+0.71017733125973725450 +0.12220412545487135958 +0.36829707497404984284 +1.44108437772058550763
+0.40117633883721692811 -0.06914945575703201897 +0.77989216969154151471 -0.28390814669894803846
+0.79555964005474932854 -0.09857010584376579843 +1.74630182955677581980 +0.09064057316977236489
+0.61475651903674100041 -0.46717835641843752370 +1.07000994535895888049 -0.52050750024852376896
-0.44483259288273435672 +0.76454199734798566901 +0.23566599301557866752 +1.56588077953908633155
+0.18024338366015002499 -0.94018541938552346870 -0.44078982510017317153 -1.45000957381217143727
+0.91085479093504861936 -0.71960950087140296283 +1.51030475472301195516 -0.89765218333684071439
-0.32247630159125684202 +0.47954614339773260490 -0.64036708240620066057 +0.80287569525345969801
+0.22547813922398907138 -0.77055677718255100039 -0.00864034462649598822 -0.28794218335679588883
+0.54630818575886208599 +0.76394806468757914253 +1.46843769324061890202 +0.18423026768133166087
-0.46829042110990504177 -0.57838732684135507611 +0.02956891612545575754 -1.41363225870031872233
+0.12597378056258423662 +0.52540250830288659500 -0.70094770484551705003 -0.11383077873244862310
-0.61463776113856538608 -0.98841687679346956763 -1.42445937075708495279 -0.00837175309514970323
-0.00521356706375741830 +0.19222525126401590612 +0.59315944425716859989 +0.05761253491996076725
+0.65298941409921051893 +0.55368995119083685985 +0.93588812509331353873 -0.27581674668116318294
+0.42402187154719395146 -0.25041977428880168866 -0.46153243302118784896 -0.13282536127925048675
+0.79150918621308741230 -0.77007541699186932149 +1.41159626242766078619 -0.58699253160429498699
-0.46818585910593002453 +0.36801332899555405653 -0.19561927229590114763 +0.84349137883323144216
+0.19389714950419478789 +0.45033461466129098838 +0.48963560951271012378 +0.19689467002475780077
-0.03344824683082925354 +0.69778252039591781575 -0.41064282798541884567 +0.66911062786901798205
+0.68049858589831302424 +0.80133878219110066254 -1.12533117878104738097 -0.03679678484311499354
-0.62103320876032319653 -0.50982415442664796856 +0.70192096961148342515 -0.57841330236919996644
+0.59944996378796333580 -0.17804268246543775156 +0.08045189719931541972 -0.61951196712081080253
-0.31789078081494381856 +0.32332955185572709311 +0.08297656698386257634 +0.13243692764997366806
-0.23411848385048505961 +0.48261459382575511157 -0.56114208565983925148 -1.21110986320714242304
+0.92212950748175681603 -0.57971779700624748166 +0.90842219382244948633 +1.05898476453335499414
+0.49785933723536079931 -0.83524493185896364622 -0.13242402163525052172 +0.99090113699598902919
-0.82692148540810128665 -0.63923328703533521811 +1.32815828936649515946 -0.70737647831936045772
-0.80982160961851956671 +0.98004512369831986440 -1.96846200049740449600 -0.19518384842332228701
+0.59837301132092601819 -0.13461271634405513886 +0.43831176766568130665 +0.52822590716670636546
+0.28289871099410301980 -0.82950669787200004279 +1.13627949292534835557 -0.87124566711163997645
-0.88555430456838180042 +0.11759441300955120191 -1.03355415499123348688 -0.88441506760271648702
+0.62008707621457337389 +0.18308288538757433450 -0.79519843555816338565 +0.55277096276582304846
+0.27256658681002887690 +0.47547804983767738563 +0.55620894904167650363 +0.50089365873616809033
+0.29573846000851533589 -0.25343994463653318761 +0.36341196627161481691 -0.61122992859535496546
-0.37719458115458959213 -0.02867189252689983370 -0.19541711959221358397 -0.77955737812321457270
+0.21678513321211378972 +0.38032045075734366435 +0.53295437287837477136 +0.38567181225948243828
-0.38815425412906723324 +0.78971646189648558867 +0.43328487614553545804 +1.54104008799894609538
-0.23473144363418541047 -0.46528645164092874431 +0.47457153634919602148 -1.42732635818187358900
-0.25896783835397152451 +0.60848109819246154473 -0.60969948413155727884 +1.12344315632349034395
-0.81157193254421367001 +0.42698456700121756313 -0.59456636988781252917 +0.43236360320176769889
+0.22893836004743595147 -0.74800801829031149381 -0.22433815098405496258 -1.64727124002503844125
+0.23957873508524696327 +0.51512063706774324778 +0.31470915824972967023 +0.69594069452820916943
-0.94070361982307137971 +0.49881463379248858203 -0.48822421412539651620 +0.06002335090892785274
-0.79923693965906394965 +0.18009957747408678053 -1.65236810383109644640 +0.75808732076683926770
-0.19750080147575932443 -0.65808323142148839047 +0.65071723035797690571 -0.63108563877197521030
+0.27565297583620074207 +0.82741118275655756165 +0.46038352007386196263 -0.15737261033000260468
-0.62617044750248962437 +0.33910226828497291862 +0.02698244730584797857 +0.44449620134419354223
+0.06249623160656159193 -0.25013682273997339678 +0.33502246826224535425 +0.03223594471669577466
-0.89795878101919646141 +0.71437505143067459024 -0.52173187289261124810 +0.71505326133932278765
-0.73623763438690215111 -0.32255824469150051748 -0.65236869176641398838 -1.15684901832170372593
+0.49203977106970797628 -0.76600909961770935475 +0.74631040416526439607 -1.51755895644215743623
+0.31616923966626098164 +0.00535136150213877393 -0.09938410645414719191 +0.37496908925520489042
+0.82143913027460269127 +0.75132362610246050671 -1.17886131599709331752 +0.27363509109584788215
+0.70930297998338143195 -0.96203990654094484469 -0.68207476480010553743 +0.82020668319206890828
-0.35073164577758575433 +0.51496205813102879922 +0.12825521226090655369 +0.02677700010829873328
+0.21700556265640114084 +0.00537903620055013576 -0.42919399200257185578 +1.02543425165330792659
-0.45327651103149091405 -0.89926322173472694743 +0.50478238025273947098 -0.48320804574906150997
+0.07513042316448270697 +0.18082005746046592165 +0.37178510765778871594 -0.02399913630189620672
+0.45247940569767486352 -0.43879128288356072929 +0.64779355685760253714 +1.54933124453063619796
-0.85313116417203249675 +0.57798774329275248718 -0.39788816582021618862 -0.05389422450152146077
+0.84821803183373623014 +0.02699759264951318016 -0.46790756416915302296 +1.15927827774062297550
+0.18473054423766122056 -0.98478379308656016633 +1.63945533887017247388 -0.77749836712942133055
+0.65315289480833760294 +0.10539393305922062360 +0.90507534631401453940 +0.93387708914498213097
+0.27252623665568376232 +0.28237276745666917144 -0.22802750142937794342 +0.52505478310763487038
+0.37622690812658521331 +0.00067820990864819741 +1.45595540151059288370 +0.11448240403902743001
+0.08386894262048816273 -0.83429077363020320846 +0.95351124159414768489 -0.15893800986034034572
+0.25427063309555641979 -0.75154985682444808148 -0.23602132899359656859 -0.03220504518273564071
-0.27712925551199196761 -0.22631926711519168016 +0.67329798817399577615 +0.34728249416171985686
-0.17439294187195231167 +0.90509511689888455521 -0.28491792674873073210 +1.75517868458437154011
+0.66139731293650250166 +0.49589746009533719473 +0.02710534458477087405 -0.02551430973743040731
-0.66111827201344008920 +0.90871119662550614571 +0.01124646893528624680 +1.07299913450263595394
+0.81879076389673866032 +0.12328740368011925632 +1.73309772324570809943 +0.79081270209185872133
-0.65556232849837736687 +0.10063948697580715752 -0.05624890693781936513 -0.54419594730684539563
+0.43423220142141394362 -0.79060484315245149745 +0.36159057019842966163 -1.53333867084880548504
+0.39792528239456181893 -0.49034038095225618292 +0.32672743539241988486 +0.45213778790131620156
-0.36920170542268881952 -0.29108869266993919744 -0.03679971078537080942 -1.24373449870870711464
-0.40314159606912403078 +0.20747319245837991808 -0.17254274815162151668 +1.04115736572240424884
+0.99153900334528688454 +0.50366366480436441933 +1.71355786243083652032 +0.38380523288283185934
+0.49649214606043501341 -0.62343898991558610589 +1.45684098893764946148 -0.52701742641511417631
-0.42106611299021223793 -0.51265535179183241432 +0.41823316968774237878 -1.16031785554480659783
-0.99050138397584652772 -0.81687723983402071859 -0.51668577979142482626 +0.17398361627312919353
-0.12607487950895390760 +0.90916342157057838946 -1.10399724373451091353 +0.85419322537358732816
-0.80602472012686887659 -0.83595551571960280413 -0.70334948118492168767 -1.35708430311622363362
+0.95042724368598774376 +0.57360176127691153702 -1.22755649919797971137 -0.79992102839210321719
-0.11052498487677842043 +0.85008356768548698490 -0.05190853125940642770 +0.06641453801756562469
-0.63429196835173162761 -0.52141176983276760204 +1.58636819536522599705 +0.44403235431194715277
+0.67236474094872633600 +0.16428793787712980823 -0.69517120045696501052 +1.35980878658708181916
+0.91430695934896943911 +0.66752529841173946501 -0.45237445546539528651 -0.31729415641949970661
+0.59931342156055800174 -0.64483543428265255315 -0.07733186908464073639 +1.45755472910459116243
-0.07264163122298428199 -0.74273382769635398759 +0.14974516666148676713 -0.48660980405448350794
-0.07119784700214193407 +0.94247816885357238448 -1.31376596077766194526 -0.73963809224821597255
+0.33240199463731801011 -0.95264580603876791720 +0.66155711338901346252 +0.70160370004097394325
+0.23059884791750251409 +0.83368417326402433076 -0.49054188508497942323 +0.74373100096957667215
+0.72201885908554963578 -0.11985843192153255998 +0.47291840931919293389 -0.48761572102861139300
+0.96034884287721444807 +0.09642156350047192959 -0.34083720209146672886 +0.78561584328264877364
+0.83929928267795461672 -0.64766250375297418351 +0.98667739074457272430 +0.79574844534684141539
+0.47381560418442170146 +0.99086085610714991212 +0.21320960334150340643 +2.31661022409354089291
-0.97792236422555700592 -0.05497019619699106130 -0.41804649390628417782 -1.21673123534338856189
+0.10267523894194718892 -0.52112878739662082950 +0.82981989637611741628 +0.48605598860270260442
+0.78358786567326110806 -0.78662842813561129063 +1.17325184518235237086 -1.33373106306846489488
+0.28936597438260758253 -0.92973698880251043342 -0.17441126208556911870 -1.22743899592670491216
+0.10445561913518064401 -0.21787629111944095683 -0.61955183880995323698 -0.51484416175746638977
+0.44207253551455849561 +0.29583144888272117079 +0.93041082695290477922 -0.32611163728942904605
+0.11944667856472701573 -0.34802446093603900401 -0.46476523370369937638 -1.12047117814766306054
-0.43446571103176467865 -0.29210449342908084702 -0.55608235556180596326 -0.75252835280681606989
-0.68894714503927390048 +0.89122678768038854358 -1.01397119868455121150 +1.52505602680257590364
-0.56014621478548942690 -0.00220028467590771548 -1.23079610649206894202 -0.60753529418337559598
+0.54435803149659967026 -0.60232770045116690305 +0.31479044015951407331 -1.55837399958960576285
-0.86928745901447590505 +0.21199242300113385618 -1.16786496664764860576 +0.21577732859653275810
+0.64677616281505856399 -0.63339318577283987288 +0.29874770763428792897 -1.19498311694074943468
+0.03114820739007395645 +0.31081705763593481251 -0.68917657718341662765 +0.08010911690228939008
+0.88456463430013743121 +0.28714350953481604378 +0.08264151318920598399 +1.25140387108077688616
-0.09734094720847519255 +0.51296021983663497856 -0.83907886335272996448 +1.26558351382302824994
+0.67962899756937211748 +0.83299024653109032812 +1.09580982050657804727 +0.40949687287751745934
-0.69671505978870973408 -0.94747130849089189475 -1.67030560031220698392 -0.22026019801316265578
+0.38966397950909126280 -0.54710263493285360425 +0.39392388616416984526 -0.23952579320275768637
-0.46377723646817670122 -0.29770200712419447875 +0.61536786713423774486 -0.76682155826137099464
-0.72400745794513388098 -0.29696787063802543294 +0.79566711747541685185 -0.24396800241935234776
+0.48833829143834628361 -0.62194308617215021684 +0.47141964216756615524 +0.78880551363754358718
-0.58421191226842639210 -0.77244671721162405653 +0.79767361671441361359 -0.19744990573080645202
-0.12161664453004128461 -0.46042385937773522286 -0.03385719082163085591 +0.35363772139581550746
-0.32502405364527731102 +0.63382923912218736007 +0.09853698910931335542 +0.43472287290963396167
-0.67064989170657951512 -0.60533500950746788050 +0.61310385812958234641 +0.00928536791642475823
-0.22956759133708559695 -0.95604629913843885980 +0.35371859866500637848 -0.77392562284386146043
-0.29857750763317270071 +0.00378490559539890192 +0.31554685655043346326 +0.51912464806734903711
-0.34802845518077063502 -0.56158993116790956179 -0.44703280307654147396 -0.89160170947078043469
-0.72032478457349058409 -0.23070794073364542243 +0.03276555515673779118 -0.92568212681520212204
-0.80192312111093144722 +0.96426036154596084238 -1.67132084598281527299 -0.71373301045435311174
-0.74173791614425477192 +0.75262329398639327138 -0.66894616788896421600 -0.15873521081096722551
+0.41618082293720592979 -0.42349337365357286878 +0.23744108799914295793 -1.26165675135480515046
-0.97359054052349724984 +0.72721111047772923897 -0.59826972831489710902 +1.58848813921185194609
+0.51773434824675512722 +0.74631681758825996198 +0.30653256444020104965 +0.36059999290514332948
+0.86821780597972586513 -0.64265393319026076213 +0.51877954406972692780 -0.61831143293982604447
-0.15572475990566059245 +0.88531676660985447747 -0.13033878411880461812 +1.57989185822111632973
-0.50137663126426601501 -0.82611129454071940970 -0.26413975713692106062 -0.06279293026156151925
-0.17142637457300091697 -0.42381774445666864359 -0.91045450330379762427 -0.51824978291289558463
-0.55923096190653343029 -0.66488169590090095973 -1.16004893658481100793 -0.79795752024158117521
+0.46278222202829155663 +0.11428224792188901304 -0.02963423200657588907 -0.39652976910080761641
-0.45297706461679698720 +0.03240502943663448043 -0.33755562486351853302 +0.39608888688044574522
-0.94595166459668744707 -0.96505195775568997085 -0.58616001917446758362 -0.97102860857905248793
-0.21158278040450739788 +0.14479233253901191425 +0.69372131196143183018 +0.21936832199858402603
-0.04004871731022663361 +0.96312211801653635490 +0.32830217508873005272 +0.58324284636906331691
+0.08627539626919200622 -0.18011297783525437310 -0.53214741207826898872 +0.31984604200580690758
+0.91433485983452489343 -0.53140657619857867289 +0.19376995152604092887 -1.22291958522628751993
+0.64595060610890864261 -0.88354201215157757154 +0.73199647292153402489 -0.57264279571949372460
-0.88625476057063812263 -0.24309157523116131649 -1.17013286138295069527 -0.36655623777987078604
+0.26929255526422402056 +0.57812372796576383394 -0.48306602059385483905 -0.28607284499167473513
-0.21120178380655407757 -0.38571682468311663250 +0.72893613205330920479 +1.13203364227137659448
-0.34943826190999893733 +0.02434250025043471766 +1.06413459899315765433 -0.89173319839341302906
+0.02538597578685597433 +0.69457509161126185226 -0.09433082293908363891 +0.24553040750177684837
+0.23723687412734495439 +0.76331836427915789045 -1.49717449089804355289 -0.91121078488313533850
-0.73902812873079670730 -0.09443203845622694104 +0.16844418303040248341 -0.63426591571961088434
-0.60081797467827757764 -0.13307582434068021549 -0.41907591547614114758 -0.33003384936251217718
-0.49241645403486744570 -0.51081201702269662945 +0.94305050520504929423 -0.64327528745625284223
+0.11542143975327845418 +0.36368385744381126479 -0.43580244545730939532 +0.49284759326730614992
+0.35979164542221986345 -0.00597665082336251707 -0.95907530689476161445 +1.30574331004649923926
+0.90530409236593922806 +0.07457598945957211178 +0.28676097543544165624 +1.08172767569740546634
+0.36835089239895668634 -0.37987927164747303799 +1.39705926045995321161 -0.13663234102203719589
-0.61842280834746099494 +0.49995901984106128069 -0.95696854600134506619 -0.20810738472591511217
-0.72056490830848396456 -0.69151300902770884704 -1.04283636830394321748 -1.26926105693429924770
+0.08604586681262538228 +0.31089921643208384694 -1.12913976816959560345 +0.68207517882180479507
-0.28387810081231257264 -0.12346466254870946955 +0.51074422928184293191 +0.34104042387205169007
-0.75235857585807885961 -0.86419657295743856906 -0.72063765924161837795 -1.61392076889215330127
-0.51769941770537619696 +0.51394058907804152092 -0.12035630428450949658 +1.48759517391798223862
+0.41366516167014033556 +0.66758627944402326726 +0.87870644657664898070 +0.68091930246088172574
+0.02425578792443183751 +0.41657829572088500569 -0.15678282865438508686 +0.68635599361278165631
+0.97163097519518482059 +0.67088488005653190704 +0.89065543447967621127 -0.02783882259621428545
-0.44646323828170864090 -0.00510116513862524101 -0.35201194165881855014 +0.28511639730211024713
-0.71068436918913779898 +0.31950530903134244376 -1.24317770793477122560 +0.91169080632881560611
-0.66204649958264139009 -0.87758336883608345502 +0.15736287664363035610 +0.06776783815406539624
-0.54108403934091531262 -0.76635747839390022662 -1.47307475747232063945 -1.20486551238464012492
-0.20996001579076928323 -0.30835898557792518204 -0.24790564793496039364 -0.46427269490166489518
-0.70057223641359622768 +0.02220815480273130582 -0.85903098460718974039 -0.47874827843310097109
-0.44150095721039828156 -0.48511537062498022443 -0.00208061291710448515 -1.22341735721920863433
+0.35589571408611075931 -0.42899456003797764581 -0.09704616157805312504 -0.00400799074577262715
-0.72629022371524398771 +0.21094930102023590202 +0.10391403342967153733 +0.00470101054729599177
+0.29856010323606474444 -0.90116814089534003074 -0.36966374261635004395 -0.54037937541961955645
+0.29562485680695615997 -0.50858949952340082312 +1.10043636037730907518 +0.36585935237814326548
+0.42969506367243126554 -0.59516528012919489576 +0.61931561781825883450 -0.09949311768108959342
+0.39734311342086670038 +0.97365458483994071770 -0.91504253112624289734 -0.45971399576189919678
+0.46504128490650864514 +0.01333302301685845848 +0.07724953304440736190 +0.65170494798548905813
-0.18103861657881692437 +0.26977769789189665062 +0.24584545511049932243 +0.05706330033220456677
-0.08097554071550860932 -0.69872370265274619250 +1.63612409113881485112 +0.55399106993141489230
+0.09445129662289009076 +0.29021756244073548814 -0.59130621055365972794 +0.17366246079916636269
-0.53249333874563342661 +0.59218549729747316235 -0.32572292272578540206 -0.00333256873033480061
+0.81940937622627174619 +0.94535120699014885126 -2.25110056315050499620 +0.67107990157282837451
-0.93199071813140532683 -0.43850803399073989830 -0.24528779942676640080 -0.44735577024427275461
-0.03794563214419111041 -0.15591370932373971314 -0.15244527624923664977 +0.17201438365096394234
-0.15845874819359351271 -0.50095643323583227691 +0.61887322217647533495 +0.42963258158631989492
+0.43942034429329379641 -0.73830198659422840990 +0.57102791972852240399 +0.71697483696391617336
-0.45294187566416388435 +0.42498656929220501866 -1.15942544673826564150 -0.19807738210320863237
+0.83020425714491552505 -0.20624829047293991025 +1.39561104836993865597 +0.80560455619590720655
